month_date,merch_state,accommodation_cost,attraction_cost,breakfast_lunch_cost,dinner_cost,median_meal_cost,retail_cost,cost_per_trip
2024-10-01,OK,158.60000610351562,36.150001525878906,14.489999771118164,29.1200008392334,20.329999923706055,39.939998626708984,585.5800132751465
2024-11-01,OK,157.4600067138672,24.8799991607666,14.850000381469728,29.969999313354492,20.739999771118164,43.41999816894531,570.8600082397461
2024-12-01,OK,148.22999572753906,23.780000686645508,15.369999885559082,31.299999237060547,21.549999237060547,46.16999816894531,560.4399871826172
2025-01-01,OK,155.1999969482422,26.25,15.0600004196167,30.06999969482422,20.829999923706055,39.75,562.7799949645996
2025-02-01,OK,155.22000122070312,25.3700008392334,15.0,30.010000228881836,20.84000015258789,40.900001525878906,563.0000076293945
2025-03-01,OK,167.6300048828125,29.600000381469727,15.340000152587892,31.93000030517578,21.729999542236328,42.29999923706055,604.2800102233887
2025-04-01,OK,168.58999633789062,24.84000015258789,14.640000343322754,29.709999084472656,20.540000915527344,40.970001220703125,586.7799949645996
2025-05-01,OK,173.80999755859375,25.3799991607666,15.3100004196167,31.56999969482422,21.56999969482422,41.2400016784668,605.2399978637695
2025-06-01,OK,168.39999389648438,27.63999938964844,15.260000228881836,31.34000015258789,21.549999237060547,40.25,596.2999877929688
2025-07-01,OK,165.22999572753906,26.88999938964844,15.380000114440918,31.3700008392334,21.6200008392334,39.97999954223633,588.4599914550781
2025-08-01,OK,165.24000549316406,26.420000076293945,14.710000038146973,30.280000686645508,20.709999084472656,41.619998931884766,585.9600105285645
2025-09-01,OK,168.77000427246094,25.790000915527344,13.909999847412108,27.90999984741211,19.3799991607666,37.43000030517578,575.4400100708008
2025-10-01,OK,168.07000732421875,26.209999084472656,14.18000030517578,28.36000061035156,19.670000076293945,37.869998931884766,577.7400131225586
2024-01-01,OR,271.7099914550781,22.56999969482422,17.799999237060547,34.560001373291016,24.6299991607666,72.37000274658203,873.619987487793
2024-02-01,OR,315.17999267578125,24.989999771118164,17.18000030517578,35.279998779296875,24.520000457763672,67.30999755859375,954.2399787902832
2024-03-01,OR,331.8500061035156,25.799999237060547,17.81999969482422,35.88999938964844,25.09000015258789,62.08000183105469,982.5200119018555
2024-04-01,OR,301.7200012207031,27.989999771118164,17.469999313354492,34.939998626708984,24.63999938964844,53.400001525878906,905.9799995422363
2024-05-01,OR,306.25,34.220001220703125,18.549999237060547,36.79999923706055,26.030000686645508,53.790000915527344,936.3199996948242
2024-06-01,OR,353.7300109863281,32.7400016784668,18.979999542236328,38.400001525878906,26.899999618530273,50.04999923706055,1025.760025024414
2024-07-01,OR,317.30999755859375,35.209999084472656,20.11000061035156,39.84000015258789,28.450000762939453,50.779998779296875,966.7199935913086
2024-08-01,OR,290.55999755859375,34.900001525878906,19.920000076293945,39.540000915527344,28.190000534057617,54.150001525878906,917.9800033569336
