census_region_division,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
New England,2025-07-01,254.16000366210938,7333,4954,63.669998168945312,1840.72998046875,141.44000244140625,463.8599853515625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-07-01,234.11000061035156,45395,25039,61.430000305175781,2120.360107421875,129.25999450683594,445.1199951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-07-01,206.57000732421875,67025,37201,58.840000152587891,2059.89990234375,121.87000274658203,395.5,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-07-01,189.25999450683594,34110,20031,62.360000610351562,1169.6600341796875,122.25,322.1099853515625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-07-01,177.27999877929688,45480,23651,56.840000152587891,1197.1199951171875,111.56999969482422,324.48001098632812,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-08-01,203.72000122070312,39084,23552,59.869998931884766,1260.7900390625,129.41000366210938,350.16000366210938,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-08-01,174.85000610351562,24808,14738,57.459999084472656,1135.6199951171875,109.65000152587891,301.8800048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-08-01,221.75999450683594,17658,11331,60.909999847412109,1721.1400146484375,137.47999572753906,396.19000244140625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-08-01,195.41000366210938,50021,27797,59.599998474121094,1413.2099609375,121.18000030517578,343.010009765625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-08-01,253.30000305175781,7631,5202,64.569999694824219,1864.2900390625,139.94999694824219,453.1199951171875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-08-01,225.33999633789062,42753,24205,61.0,1833.8599853515625,130.69000244140625,407.32000732421875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-08-01,198.11000061035156,57237,32824,59.119998931884766,1874.9000244140625,117.05999755859375,359.19000244140625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-08-01,182.47999572753906,32234,19389,60.439998626708984,1037.6400146484375,120.23000335693359,303.42001342773438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-08-01,169.46000671386719,41734,21884,56.400001525878906,1114.6199951171875,108.01000213623047,301.27999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-09-01,203.83000183105469,35118,20769,59.619998931884766,1327.0899658203125,130.27000427246094,365.98001098632812,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-09-01,183.77999877929688,24174,13990,57.4900016784668,1345.72998046875,111.31999969482422,318.8900146484375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-09-01,224.02000427246094,16088,9803,61.220001220703125,1796.4100341796875,135.75999450683594,412.14999389648438,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-09-01,202.72000122070312,47695,26394,61.150001525878906,1537.5799560546875,123.29000091552734,369.239990234375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-09-01,232.33000183105469,6537,4443,61.069999694824219,1779.5699462890625,134.77000427246094,433.79000854492188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-09-01,221.99000549316406,40498,22281,60.909999847412109,2038.260009765625,126.68000030517578,425.760009765625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-09-01,198.91000366210938,53316,29959,58.7599983215332,1982.9100341796875,117.26999664306641,369.02999877929688,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-09-01,192.0,31453,17936,62.9900016784668,1106.8800048828125,123.70999908447266,335.73001098632812,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-09-01,173.69000244140625,39029,20335,57.409999847412109,1191.9100341796875,107.72000122070312,315.97000122070312,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East North Central,2025-10-01,202.16999816894531,35343,20615,60.810001373291016,1415.3599853515625,126.41000366210938,357.04998779296875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
East South Central,2025-10-01,185.25,25502,15026,58.340000152587891,1354.8900146484375,112.77999877929688,324.72000122070312,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Middle Atlantic,2025-10-01,220.8699951171875,16022,9828,61.080001831054688,2058.8701171875,137.71000671386719,412.76998901367188,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Mountain,2025-10-01,193.86000061035156,46294,26260,60.849998474121094,1601.5999755859375,117.47000122070312,362.6099853515625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
New England,2025-10-01,240.75999450683594,6525,4307,61.270000457763672,1738.3699951171875,138.44999694824219,429.57000732421875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
Pacific,2025-10-01,219.97999572753906,40350,22384,61.2599983215332,1875.030029296875,126.72000122070312,423.760009765625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
South Atlantic,2025-10-01,199.28999328613281,56667,31851,59.639999389648438,2033.280029296875,117.73000335693359,373.58999633789062,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West North Central,2025-10-01,186.91999816894531,31424,18015,62.5,1048.27001953125,121.08999633789062,324.239990234375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
West South Central,2025-10-01,177.97999572753906,42499,22621,56.419998168945312,1265.56005859375,107.56999969482422,319.57998657226562,SINGLE_MONTH,2025-01-01,2025-10-31,2025-12-02 22:51:24.557749 UTC
