merch_state,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
FL,2025-02-01,242.71000671386719,2399154,10598,59.060001373291016,3876.8798828125,129.91999816894531,532.3800048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
TX,2025-02-01,199.52999877929688,2134531,9675,56.290000915527344,1691.719970703125,122.33000183105469,394.42999267578125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
CA,2025-02-01,228.24000549316406,2069472,9576,62.5,2001.0400390625,123.73000335693359,446.44000244140625,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NV,2025-02-01,196.67999267578125,1811180,7061,60.889999389648438,1434.530029296875,111.11000061035156,356.58999633789062,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
TN,2025-02-01,190.83999633789062,906632,4008,54.939998626708984,1390.8199462890625,108.31999969482422,328.3800048828125,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
LA,2025-02-01,195.99000549316406,818182,3089,54.330001831054688,1448.6199951171875,112.12000274658203,357.55999755859375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
GA,2025-02-01,208.28999328613281,811613,3865,60.049999237060547,1409.5400390625,133.60000610351562,370.04998779296875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WI,2025-02-01,186.55000305175781,809466,3447,59.459999084472656,984.77001953125,122.43000030517578,304.47000122070312,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
IL,2025-02-01,195.13999938964844,807169,3301,57.2599983215332,973.3900146484375,126.76999664306641,320.80999755859375,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
CO,2025-02-01,189.27000427246094,742374,3438,57.270000457763672,2095.800048828125,113.93000030517578,373.79998779296875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
VA,2025-02-01,186.02000427246094,741211,2926,59.580001831054688,1544.3900146484375,120.11000061035156,328.29998779296875,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
